sofifa_id,short_name,overall,age,nationality,club,player_positions
193296,R. Boymans,68,25,Netherlands,FC Utrecht,ST
199566,M. Nelom,68,23,Netherlands,Feyenoord,LB
199639,J. Cabral,68,23,Netherlands,Willem II,LW, RW
200425,M. te Wierik,68,22,Netherlands,Heracles Almelo,RB
204138,R. Ligeon,68,22,Netherlands,Ajax,RB
199584,M. Kieftenbeld,68,24,Netherlands,FC Groningen,CM, CDM
205565,D. Bulthuis,68,24,Netherlands,1. FC Nürnberg,LB
209674,D. Verbeek,68,23,Netherlands,FC Utrecht,RW, LW
172855,D. Boerrigter,68,27,Netherlands,Celtic,LM
179941,R. Poepon,68,26,Netherlands,Valenciennes FC,ST
189713,E. Falkenburg,68,26,Netherlands,NAC Breda,CAM, ST, CM
185030,M. Schet,68,26,Netherlands,ADO Den Haag,RW, LW
204136,M. de Leeuw,68,27,Netherlands,FC Groningen,ST, CAM
139871,M. Fledderus,68,31,Netherlands,Heracles Almelo,CM
172141,J. van den Berg,68,28,Netherlands,SC Heerenveen,CDM, CB
208920,N. Aké,67,19,Netherlands,Chelsea,CB, CDM
216380,D. Sinkgraven,67,18,Netherlands,SC Heerenveen,CAM, LW
212755,J. Hendrix,67,19,Netherlands,PSV,CB, CDM
209818,J. Brenet,67,20,Netherlands,PSV,RB
210011,T. Ondaan,67,20,Netherlands,Willem II,RW, LW
200112,L. Ebecilio,67,22,Netherlands,Mordovia Saransk,LW, RW
202744,J. Lukoki,67,21,Netherlands,PEC Zwolle,RM
188540,R. van La Parra,67,23,Netherlands,Wolverhampton Wanderers,RW, LW
198133,L. Bacuna,67,22,Netherlands,Aston Villa,RB, RM, CAM
198177,B. Schenkeveld,67,22,Netherlands,Heracles Almelo,CB
189084,E. Room,67,25,Netherlands,Vitesse,GK
209662,M. Rosheuvel,67,23,Netherlands,AZ Alkmaar,RW
183936,M. Donald,67,25,Netherlands,Mordovia Saransk,CAM, CM
200105,J. Kappelhof,67,23,Netherlands,FC Groningen,CB, RB
202456,J. Verhoek,67,25,Netherlands,FC St. Pauli,ST
204476,T. Beugelsdijk,67,23,Netherlands,FSV Frankfurt,CB
225152,R. Mühren,67,25,Netherlands,AZ Alkmaar,ST, CAM
183564,J. Buijs,67,25,Netherlands,SC Heerenveen,CB, CDM
184614,M. Kramer,67,25,Netherlands,ADO Den Haag,ST
184635,S. Nijland,67,25,Netherlands,PEC Zwolle,LM, ST
200422,X. Houtkoop,67,25,Netherlands,ADO Den Haag,LW
162365,H. Drost,67,27,Netherlands,NAC Breda,CB
172048,W. Verhoek,67,27,Netherlands,Feyenoord,RW, LW
186503,T. Breukers,67,26,Netherlands,FC Twente,RB
188621,A. Meijers,67,26,Netherlands,ADO Den Haag,LB
9764,Y. Hersi,67,31,Netherlands,Perth Glory,RW
18886,M. Dingsdag,67,31,Netherlands,Grasshopper Club Zürich,CB
27532,D. de Vries,67,33,Netherlands,Nottingham Forest,GK
136839,R. Zomer,67,31,Netherlands,Heracles Almelo,CB
138351,G. Coutinho,67,31,Netherlands,Excelsior,GK
139866,G. Loovens,67,30,Netherlands,Sheffield Wednesday,CB
148866,S. Duits,67,30,Netherlands,Go Ahead Eagles,CDM, CM
162335,N. van der Velden,67,32,Netherlands,FC Groningen,RW, ST, CM
209371,B. van Polen,67,28,Netherlands,PEC Zwolle,RB
221907,B. Ould-Chikh,66,16,Netherlands,FC Twente,RW
207872,J. Botaka,66,21,Netherlands,Excelsior,RW, LW
204392,K. Jansen,66,22,Netherlands,ADO Den Haag,CM
208459,M. Dijks,66,21,Netherlands,Willem II,LB
210213,G. Korte,66,20,Netherlands,FC Dordrecht,LW, RW
199538,R. van Haaren,66,23,Netherlands,FC Dordrecht,CM, CAM
200235,M. te Vrede,66,22,Netherlands,Feyenoord,ST
202050,T. Bruns,66,22,Netherlands,Heracles Almelo,CM
189899,V. Wormgoor,66,25,Netherlands,ADO Den Haag,CB
190814,G. Castillion,66,23,Netherlands,New England Revolution,ST
202193,N. Gouriye,66,23,Netherlands,Excelsior,LW
203845,L. Burnet,66,23,Netherlands,FC Groningen,LB
210488,P. van Ooijen,66,22,Netherlands,Go Ahead Eagles,CM
198147,M. van der Maarel,66,24,Netherlands,FC Utrecht,RB
199590,K. Ramsteijn,66,24,Netherlands,Clube Sport Marítimo,CB
202153,A. Tamata,66,23,Netherlands,PSV,LB
203443,G. Markiet,66,23,Netherlands,FC Utrecht,CB, RB
186453,T. Hiariej,66,25,Netherlands,FC Groningen,CDM, RB
187514,M. van der Laan,66,25,Netherlands,FC Groningen,CB, LB
189938,M. van der Werff,66,25,Netherlands,PEC Zwolle,CB
193944,J. Rijsdijk,66,26,Netherlands,Go Ahead Eagles,CAM
163907,G. Zuiverloon,66,27,Netherlands,ADO Den Haag,RB, CB
184001,D. Gorter,66,26,Netherlands,Aalborg BK,LB, CM
136775,J. Broerse,66,35,Netherlands,PEC Zwolle,CB
137510,A. Kruiswijk,66,29,Netherlands,Vitesse,LB, CB
172851,K. van der Biezen,66,28,Netherlands,Karlsruher SC,ST
178059,K. Agustien,66,27,Netherlands,Brighton & Hove Albion,CM
178256,T. Janssen,66,28,Netherlands,FC Midtjylland,ST, CF
184637,S. Overgoor,66,27,Netherlands,Go Ahead Eagles,CDM
216271,J. van Aken,65,20,Netherlands,SC Heerenveen,CB, LB
208782,M. van der Hart,65,20,Netherlands,Go Ahead Eagles,GK
220093,H. Hateboer,65,20,Netherlands,FC Groningen,RB
225114,M. Mahi,65,20,Netherlands,FC Groningen,LW, CAM
202200,L. Slagveer,65,20,Netherlands,SC Heerenveen,RW, LW
204506,M. van Buren,65,21,Netherlands,Esbjerg fB,ST
209696,C. David,65,21,Netherlands,Fulham,CAM, CM
200201,G. Wijnaldum,65,21,Netherlands,Go Ahead Eagles,LB
204396,H. Bos,65,21,Netherlands,FC Groningen,RW, CAM
208602,Y. van Nieff,65,21,Netherlands,FC Groningen,CM, LB
209839,T. Letschert,65,21,Netherlands,FC Utrecht,CB, RB
208123,J. de Kamps,65,22,Netherlands,NAC Breda,CDM
204386,D. Koppers,65,22,Netherlands,FC Twente,LB
204394,E. Gyasi,65,23,Netherlands,Heracles Almelo,RW
200255,J. Reimerink,65,24,Netherlands,Go Ahead Eagles,RW, LW
204444,Y. Wildschut,65,22,Netherlands,Middlesbrough,LW, RW
205672,K. Heerings,65,24,Netherlands,FC Utrecht,CB
183939,J. Sarpong,65,25,Netherlands,NAC Breda,LW
184657,S. Fischer,65,25,Netherlands,Excelsior,CB
189512,J. Veldmate,65,25,Netherlands,Heracles Almelo,CB
193669,J. Stans,65,24,Netherlands,Excelsior,CM
204840,D. van Mieghem,65,24,Netherlands,Excelsior,LW, RW
207741,M. Lieder,65,24,Netherlands,FC Dordrecht,ST
209377,R. Achenteh,65,26,Netherlands,Vitesse,LB, CDM
183607,G. Zeefuik,65,24,Netherlands,FC Groningen,ST
190169,D. Telgenkamp,65,27,Netherlands,Heracles Almelo,GK
169158,J. Peters,65,27,Netherlands,Willem II,CB
2172,K. Jaliens,65,35,Netherlands,Newcastle Jets,CB
28061,B. Sibum,65,31,Netherlands,Heracles Almelo,CDM, CB
137692,J. Verhoeven,65,34,Netherlands,FC Utrecht,GK
148645,M. Kolder,65,33,Netherlands,Go Ahead Eagles,ST
162343,F. van der Struijk,65,29,Netherlands,Willem II,RB
172858,M. Koenders,65,27,Netherlands,Heracles Almelo,CB, RB
178140,A. Swinkels,65,29,Netherlands,Lierse SK,CB
